text,SIMILAR_TO,char
copy_char,TAKES_ARGTYPE,char
copy_char,RETURNS,text
copy_char,RELATED_TO,character_copying
send_data,TAKES_ARGUMENTS,two
send_data,TAKES_ARGTYPE,obj
send_data,TAKES_ARGTYPE,text
send_data,RETURNS,bool
send_data,RELATED_TO,data_transmission
send_data,RELATED_TO,external_communication
get_data,TAKES_ARGUMENTS,one
get_data,TAKES_ARGTYPE,text
get_data,RETURNS,obj
get_data,RELATED_TO,data_gathering
load_interface,TAKES_ARGUMENTS,one
load_interface,TAKES_ARGTYPE,text
load_interface,RETURNS,bool
load_interface,RELATED_TO,ui_automation
load_interface,RELATED_TO,interface_modules
move_cursor,TAKES_ARGUMENTS,two
move_cursor,TAKES_ARGTYPE,number
move_cursor,RETURNS,bool
move_cursor,RELATED_TO,ui_automation
move_cursor,RELATED_TO,ui_cursor
move_cursor,RELATED_TO,ui_cursor_movement
click,TAKES_ARGUMENTS,zero
click,RETURNS,bool
click,RELATED_TO,ui_automation
click,RELATED_TO,ui_cursor
click,RELATED_TO,ui_cursor_clicking
double_click,TAKES_ARGUMENTS,zero
double_click,RETURNS,bool
double_click,RELATED_TO,ui_automation
double_click,RELATED_TO,ui_cursor
double_click,RELATED_TO,ui_cursor_double_clicking
enter_text,TAKES_ARGUMENTS,one
enter_text,TAKES_ARGTYPE,text
enter_text,RETURNS,bool
enter_text,RELATED_TO,ui_text_entering
press_enter,TAKES_ARGUMENTS,zero
press_enter,RETURNS,bool
press_enter,RELATED_TO,ui_input
press_enter,RELATED_TO,ui_key_enter
press_key,TAKES_ARGUMENTS,one
press_key,TAKES_ARGTYPE,char
press_key,RETURNS,bool
press_key,RELATED_TO,ui_input
press_key,RELATED_TO,ui_key_pressing
get_screen_frame,TAKES_ARGUMENTS,zero
get_screen_frame,RETURNS,img
get_screen_frame,RELATED_TO,ui_screen_grab
say,TAKES_ARGUMENTS,one
say,TAKES_ARGTYPE,text
say,RETURNS,bool
say,RELATED_TO,external_communication
say,RELATED_TO,speech_self
describe_worklog,TAKES_ARGUMENTS,one
describe_worklog,TAKES_ARGTYPE,obj
describe_worklog,RETURNS,text
describe_worklog,RELATED_TO,worklog_description
request,TAKES_ARGUMENTS,one
request,TAKES_ARGTYPE,obj
request,RETURNS,bool
request,RELATED_TO,external_request
send_email,TAKES_ARGUMENTS,one
send_email,TAKES_ARGTYPE,obj
send_email,RETURNS,bool
send_email,RELATED_TO,email_communication
send_msg,TAKES_ARGUMENTS,one
send_msg,TAKES_ARGTYPE,text
send_msg,RETURNS,bool
send_msg,RELATED_TO,text_communication
